SampleID,Short Description,Biomass.Type,Class,Subclass,State,Location.Notes,LinkRef,Source,Full Description,Notes,Field11,Field12,Mod_By,Last_Mod,Moist ar,Moist ad,Ash ar,Ash ad,Ash db,VM ar,VM ad,VM db,VM daf,FC ar,FC ad,FC db,FC daf,CV MJ/kg ar,CV MJ/kg ad,CV MJ/kg db,CV MJ/kg daf,CV kcal/kg ar,CV kcal/kg ad,CV kcal/kg db,CV kcal/kg daf,C ar,C ad,C db,C daf,H ar,H ad,H db,H daf,N ar,N ad,N db,N daf,S ar,S ad,S db,S daf,O ar,O ad,O db,O daf,Cl mg/kg ar,Cl mg/kg ad,Cl mg/kg db,Cl mg/kg daf,Analysis.Note.1,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,FileNameRef,Extension,Data Sources,SSC_NAME16,STE_NAME16,Longitude,Latitude
109,Messmate / stringybark stemwood,Industrial Processing,Timber industry,Timber waste (Hardwood),VIC,Powelltown,120,B117,"Eucalyptus Obliqua, Hardwood (messmate / stringybark). Sawn timber sample
","CSIRO obtained 19 samples from State Forest NSW, who had analysed these samples as part of their project work. 18 of the 19 samples are sawn timber samples, the last one a bark sample.",Eucalypt,stemwood,SSH,8/09/2020,10.5,6.8,0,0,0,75.1,78.2,83.9,83.9,14.4,15,16.1,16.1,17.89,18.63,19.99,19.99,4272,4450,4774,4774,44.3,46.1,49.5,49.5,5.26,5.48,5.88,5.88,0.06,0.06,0.06,0.06,,,,,39.9,41.56,44.56,44.56,,,,,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. 
Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified. 
<br><br> Note that Chlorine was <b>below</b> the lower detection limit of 40mg/kg. 
A value of 20mg/kg (a.r. basis) has been entered to allow for correct average calculations",,,,,,,,,,,,1245,JPG,,Powelltown,Victoria,145.753,-37.865
110,Spotted gum stemwood,Industrial Processing,Timber industry,Timber waste (Hardwood),QLD,Proserpine,121,B118,"Eucalyptus maculata (spotted gum, Hardwood). Sawn timber sample
","CSIRO obtained 19 samples from State Forest NSW, who had analysed these samples as part of their project work. 18 of the 19 samples are sawn timber samples, the last one a bark sample.",Eucalypt,stemwood,SSH,8/09/2020,8.6,9.6,1.2,1.2,1.3,75,74.2,82.1,83.2,15.2,15,16.6,16.8,17.99,17.79,19.68,19.94,4296,4250,4700,4762,46,45.5,50.3,51,5.23,5.17,5.72,5.8,0.05,0.05,0.06,0.06,,,,,38.9,38.5,42.62,43.14,,,,,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.8.",,,,,,,,,,,,1254,JPG,,Proserpine,Queensland,148.5808,-20.405
111,Spotted gum stemwood,Industrial Processing,Timber industry,Timber waste (Hardwood),NSW,South Grafton,122,B119,"Eucalyptus maculata (spotted gum). Sawn timber sample (Hardwood)
","CSIRO obtained 19 samples from State Forest NSW, who had analysed these samples as part of their project work. 18 of the 19 samples are sawn timber samples, the last one a bark sample.",Eucalypt,stemwood,SSH,8/09/2020,12.4,9.2,0.6,0.6,0.7,75.8,78.6,86.6,87.1,11.2,11.6,12.7,12.9,16.9,17.52,19.3,19.42,4036,4184,4610,4638,43.5,45.1,49.7,50,5.18,5.37,5.91,5.95,0.02,0.02,0.02,0.02,,,,,38.3,39.7,43.67,44.03,,,,,"Analysed in accordance with Australian Standard Methods  AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7.
",,,,,,,,,,,,1263,JPG,,South Grafton,New South Wales,152.9387788,-29.72808813
112,Flooded/rose gum stemwood,Industrial Processing,Timber industry,Timber waste (Hardwood),NSW,South Grafton,123,B120,"Eucalyptus grandis (flooded/rose gum). Sawn timber sample (Hardwood)
","CSIRO obtained 19 samples from State Forest NSW, who had analysed these samples as part of their project work. 18 of the 19 samples are sawn timber samples, the last one a bark sample.",Eucalypt,stemwood,SSH,8/09/2020,9.6,9,0.2,0.2,0.2,80.7,81.2,89.2,89.4,9.5,9.6,10.6,10.6,16.78,16.89,18.56,18.6,4008,4034,4432,4442,44.7,45,49.5,49.6,5.39,5.43,5.97,5.98,0.06,0.06,0.07,0.07,,,,,40,40.3,44.26,44.35,,,,,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7.",,,,,,,,,,,,1272,JPG,,South Grafton,New South Wales,152.9387788,-29.72808813
113,Blue gum stemwood,Industrial Processing,Timber industry,Timber waste (Hardwood),NSW,South Grafton,124,B121,"Eucalyptus globulus (blue gum). Sawn timber sample. (Hardwood)
","CSIRO obtained 19 samples from State Forest NSW, who had analysed these samples as part of their project work. 18 of the 19 samples are sawn timber samples, the last one a bark sample.",Eucalypt,stemwood,SSH,8/09/2020,10.7,9.4,0.2,0.2,0.2,78.7,79.8,88.1,88.3,10.4,10.6,11.7,11.7,15.69,15.92,17.57,17.61,3748,3802,4196,4206,44.4,45,49.7,49.8,5.26,5.34,5.89,5.91,0.06,0.06,0.07,0.07,0.01,0.01,0.01,0.01,39.4,40,44.13,44.21,,,,,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7.",7,5.4,3.2,6.9,0.5,2.74,18.1,1.06,0.52,38.2,16.38,1281,JPG,,South Grafton,New South Wales,152.9387788,-29.72808813
114,Flooded/rose gum stemwood,Industrial Processing,Timber industry,Timber waste (Hardwood),QLD,Proserpine,125,B122,"Eucalyptus grandis (flooded/rose gum, Hardwood). Sawn timber sample
","CSIRO obtained 19 samples from State Forest NSW, who had analysed these samples as part of their project work. 18 of the 19 samples are sawn timber samples, the last one a bark sample.",Eucalypt,stemwood,SSH,8/09/2020,9.9,8.7,0.1,0.1,0.1,79.1,80.2,87.8,87.9,10.9,11,12.1,12.1,16.56,16.78,18.38,18.4,3956,4008,4390,4394,45.1,45.7,50.1,50.1,5.33,5.4,5.91,5.92,0.06,0.06,0.07,0.07,0.01,0.01,0.01,0.01,39.5,40,43.81,43.9,,,20,20.02,"Analysed in accordance with Australian Standard Methods  AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.  Note that Chlorine was below the lower detection limit of 40mg/kg. A value of 20mg/kg (db) has been entered to allow for correct average calculations.",10.3,12,2.97,9.7,0.67,6.8,19.3,0.2,0.12,11.2,26.74,1290,JPG,,Proserpine,Queensland,148.5808,-20.405
115,Blackbutt stemwood,Industrial Processing,Timber industry,Timber waste (Hardwood),NSW,North coast,126,B123,"Eucalyptus pilularis (blackbutt). Sawn timber sample (Hardwood)
","CSIRO obtained 19 samples from State Forest NSW, who had analysed these samples as part of their project work. 18 of the 19 samples are sawn timber samples, the last one a bark sample.",Eucalypt,stemwood,SSH,8/09/2020,10.6,8.4,0.1,0.1,0.1,75.9,77.8,84.9,85,13.4,13.7,15,15,17.43,17.86,19.5,19.52,4164,4266,4658,4662,44.9,46,50.2,50.3,5.2,5.33,5.82,5.83,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,39.1,40.1,43.82,43.81,,,20,20.02,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.  Note that Chlorine was below the lower detection limit of 40mg/kg. A value of 20mg/kg (db) has been entered to allow for correct average calculations.",13.2,1,3.1,10.1,0.4,1.76,4.3,0.17,0.19,55.3,10.48,1200,JPG,,,New South Wales,,
116,Kangaroo Island narrow leaf mallee,Forestry,Mixed,Hardwood (Eucalyptus),SA,Kangaroo Island,128,B124,"E. cneorifolia, (Kangaroo Island narrow leaf mallee).Sample is a composite - 2parts(by air dried wt) of wood with bark still on plus 1 part of leaf/twigs. Location : Murray Bridge Revegetation Centre, tubestock plantation  Site No : MB1H  Latitude : -35.12881  Longitude : 139.23186  Collection Date: 18-Mar-03  Plant Age : ~20yrs","Mark Ellis has helped source the two Kangaroo Island biomass samples (from Murray Bridge Revegetation Centre). Mark is involved in the SA FloraSearch project (similar to the SEARCH WA project), where they investigate various wood species for higher value usage.",other,other,SSH,8/09/2020,17,9.4,1.5,1.6,1.8,66.2,72.3,79.8,81.2,15.3,16.7,18.4,18.8,16.52,18.03,19.9,20.26,3946,4306,4754,4840,41.4,45.2,49.9,50.8,5.1,5.57,6.15,6.26,0.3,0.33,0.36,0.37,0.05,0.06,0.06,0.06,34.65,37.84,41.73,42.51,,2107,2325.61,2368.24,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",11.1,0.12,0.83,5.1,3.3,13.2,20.3,0.05,1.75,3.5,40.75,1317,JPG,,Kangaroo Island,South Australia,137.2142,-35.7752
117,Broombush,Forestry,Mixed,Hardwood (Broombush),SA,Kangaroo Island,129,B125,"Melaleuca uncinata (broombush). Sample is a composite of 2parts (by air dried wt) wood with bark still on plus 1 part leaf/twigs. Location : Murray Bridge Revegetation Centre, Broombush plantation Site No : MB1E Latitude : -35.12932 Longitude : 139.23141","Mark Ellis has helped source the two Kangaroo Island biomass samples (from Murray Bridge Revegetation Centre). Mark is involved in the SA FloraSearch project (similar to the SEARCH WA project), where they investigate various wood species for higher value usage.",other,any,SSH,8/09/2020,13,8.7,1.8,1.9,2.1,68.4,71.8,78.6,80.3,16.8,17.6,19.3,19.7,18.21,19.11,20.93,21.38,4350,4564,5000,5106,45.3,47.5,52,53.1,5.36,5.62,6.16,6.29,0.39,0.41,0.45,0.46,0.14,0.15,0.16,0.16,34.01,35.72,39.13,39.99,3335,3500,3834,3916.24,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",18.7,5.2,0.81,4.8,4.7,10,15.8,0.05,1.1,4.3,34.54,1326,JPG,,Kangaroo Island,South Australia,137.2142,-35.7752
118,Macadamia nut shells,Industrial Processing,Other,Macadamia nut shells,QLD,Gympie,131,B126,"Macadamia nut shells
",Jeremy from Suncoast Gold Macadamias (QLD) has helped provide this sample (obained in Apr 2003). Note that Ergon Energy is undertaking a nut shell to electricity project.,macadamia,other,SSH,8/09/2020,9.3,8,0.3,0.3,0.3,72.2,73.2,79.6,79.8,18.2,18.5,20.1,20.2,18.96,19.23,20.9,20.97,4528,4594,4992,5008,47.5,48.2,52.4,52.6,5.17,5.24,5.7,5.71,0.27,0.27,0.29,0.29,0.04,0.04,0.04,0.04,37.4,37.9,41.27,41.36,49,50,54,54.16,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.58,5.5,1.76,5.4,3.5,33.8,9.2,0.08,0.66,8.2,30.32,1344,GIF,,Gympie,Queensland,152.6657079,-26.18344803
